,Movie Title,Year,Content Rating,Budget_ADJ,Gross_Income_ADJ,Director,IMDB Score
130,Mission: Impossible - Rogue Nation ,2015,PG-13,"$155,128,113.17","$201,667,451.01",Christopher McQuarrie,7.4
131,The Wolfman ,2010,R,"$168,617,235.94","$69,624,861.39",Joe Johnston,5.8
132,The Legend of Tarzan ,2016,PG-13,"$183,834,638.16","$126,694,501.27",David Yates,6.6
133,Bee Movie ,2007,PG,"$177,330,208.06","$149,663,292.05",Steve Hickner,6.2
134,Kung Fu Panda 2 ,2011,PG,"$163,457,648.52","$180,054,332.85",Jennifer Yuh Nelson,7.3
135,The Last Airbender ,2010,PG,"$168,617,235.94","$147,893,875.26",M. Night Shyamalan,4.2
136,Mission: Impossible III ,2006,PG-13,"$182,380,952.38","$162,175,950.31",J.J. Abrams,6.9
137,White House Down ,2013,PG-13,"$157,831,702.85","$76,920,631.42",Roland Emmerich,6.4
138,Mars Needs Moms ,2011,PG,"$163,457,648.52","$23,297,417.05",Simon Wells,5.4
139,Flushed Away ,2006,PG,"$181,165,079.37","$78,374,342.95",David Bowers,6.7
140,Pan ,2015,PG,"$155,128,113.17","$36,160,174.96",Joe Wright,5.8
141,Mr. Peabody & Sherman ,2014,PG,"$150,135,171.67","$115,454,611.75",Rob Minkoff,6.9
142,Troy ,2004,R,"$227,083,112.76","$172,879,474.12",Wolfgang Petersen,7.2
143,Madagascar 3: Europe's Most Wanted ,2012,PG,"$154,805,439.17","$230,998,256.02",Eric Darnell,6.9
144,Die Another Day ,2002,PG-13,"$193,479,933.30","$218,279,572.56",Lee Tamahori,6.1
145,Ghostbusters ,2016,PG-13,"$147,067,710.53","$120,615,600.44",Paul Feig,5.5
146,Armageddon ,1998,PG-13,"$210,532,515.34","$303,126,807.37",Michael Bay,6.6
147,Men in Black II ,2002,PG-13,"$190,754,863.81","$259,452,234.53",Barry Sonnenfeld,6.1
148,Beowulf ,2007,PG-13,"$177,330,208.06","$97,131,993.72",Robert Zemeckis,6.3
149,Kung Fu Panda 3 ,2016,PG,"$148,089,014.07","$146,581,021.60",Alessandro Carloni,7.2
150,Mission: Impossible - Ghost Protocol ,2011,PG-13,"$158,009,060.23","$228,148,651.13",Brad Bird,7.4
151,Rise of the Guardians ,2012,PG,"$154,805,439.17","$110,393,031.28",Peter Ramsey,7.3
152,Fun with Dick and Jane ,2005,PG-13,"$125,509,472.61","$138,478,036.32",Dean Parisot,6.1
153,The Last Samurai ,2003,R,"$186,504,347.83","$148,018,609.48",Edward Zwick,7.7
154,Exodus: Gods and Kings ,2014,PG-13,"$144,958,096.78","$67,309,268.00",Ridley Scott,6.1
155,Star Trek ,2009,PG-13,"$171,383,024.84","$294,440,720.00",J.J. Abrams,8.0
156,Spider-Man ,2002,PG-13,"$189,392,329.07","$550,063,961.31",Sam Raimi,7.3
