,Ceremony,Film,Award_Count,moviesearch
396,8,Universal [tied for 2nd],0,universal[tiedfor2nd]
397,8,Gaumont British and Skibo Productions,1,gaumontbritishandskiboproductions
398,8,"Universal Studio Sound Department, Gilbert Kurland, Sound Director",0,"universalstudiosounddepartment,gilbertkurland,sounddirector"
399,8,"Warner Brothers-First National Studio Sound Department, Nathan Levinson, Sound Director [Second]",0,"warnerbrothers-firstnationalstudiosounddepartment,nathanlevinson,sounddirector[second]"
400,8,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",2,"unitedartistsstudiosounddepartment,thomast.moulton,sounddirector"
401,8,"RKO Radio Studio Sound Department, Carl Dreher, Sound Director",0,"rkoradiostudiosounddepartment,carldreher,sounddirector"
402,8,"Paramount Studio Sound Department, Franklin B. Hansen, Sound Director [Third]",0,"paramountstudiosounddepartment,franklinb.hansen,sounddirector[third]"
403,8,"Columbia Studio Sound Department, John Livadary, Sound Director",2,"columbiastudiosounddepartment,johnlivadary,sounddirector"
404,8,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",5,"metro-goldwyn-mayerstudiosounddepartment,douglasshearer,sounddirector"
405,8,Republic Studio Sound Department,0,republicstudiosounddepartment
406,8,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director",1,"20thcentury-foxstudiosounddepartment,e.h.hansen,sounddirector"
407,8,Moss Hart [Third],0,mosshart[third]
408,8,Gregory Rogers [Second],0,gregoryrogers[second]
409,8,"Don Hartman, Stephen Avery",0,"donhartman,stephenavery"
410,8,"Ben Hecht, Charles MacArthur",1,"benhecht,charlesmacarthur"
411,8,Casey Robinson [Third],0,caseyrobinson[third]
412,8,Dudley Nichols,1,dudleynichols
413,8,"Screenplay by Waldemar Young, John L. Balderston, Achmed Abdullah; Adaptation by Grover Jones, William Slavens McNutt",0,"screenplaybywaldemaryoung,johnl.balderston,achmedabdullah;adaptationbygroverjones,williamslavensmcnutt"
414,8,"Talbot Jennings, Jules Furthman, Carey Wilson [Second]",0,"talbotjennings,julesfurthman,careywilson[second]"
415,8,,0,
416,9,Mr. Deeds Goes to Town,0,mr.deedsgoestotown
417,9,Dodsworth,0,dodsworth
418,9,The Story of Louis Pasteur,1,thestoryoflouispasteur
419,9,My Man Godfrey,0,mymangodfrey
420,9,San Francisco,0,sanfrancisco
421,9,My Man Godfrey,0,mymangodfrey
